State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9609532979011741	0.03321106630688323	0.0014241498205191446	0.0	0.0	0.0	0.0	5.698394109540862E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.004354502030327958
2	0.004324582636667982	0.9809399308526674	0.005588234049463496	0.0	5.855053103891099E-4	0.0	0.0	0.006876200595546209	0.0	1.1834894253820878E-4	1.0049017626281296E-4	1.6416257203523128E-6	1.9684957584532473E-6	5.089308458121536E-4	9.541664691739513E-4
3	0.0022208490012883293	0.068362063646499	0.9212638072442074	0.004973934403373655	0.0	0.0	0.0	0.0019234165897473246	2.3721293239283765E-4	1.6372695216612847E-5	5.698375362786339E-5	6.976567934772686E-6	1.0104826657977939E-6	8.575830234986418E-5	8.516143806964484E-4
4	3.601682015119017E-7	0.0	0.050931791502969906	0.8486036286866395	0.07244207871205569	0.01702573274137828	0.001440888729610575	0.0038560283532495525	0.0033817878641918017	0.0	0.0	1.225599231957644E-4	9.97346293842277E-4	1.2305497878536294E-4	0.001074742045879823
5	0.0	0.0059048270512290935	0.0	0.005966918191463361	0.9651195710994905	0.011029648509367282	0.0018142167913301303	0.008506688699728485	0.0011531190976450656	3.5392535420543803E-6	6.595337237140224E-5	2.2682175687927054E-5	1.6955297456386535E-4	9.155624120887326E-5	1.5172654237205157E-4
6	0.0	0.0	0.0	0.0032686909781942095	0.02590214722721434	0.9114925208635629	0.056395224936965645	3.037012514333714E-4	0.0	9.373178438720314E-6	1.7461480446964657E-5	2.3335898326402272E-4	0.002234135528703352	0.0	1.4338557177638204E-4
7	0.0	0.0	0.0	7.329139220469818E-4	0.011755749574194023	0.153129214627341	0.7550511228477672	0.00980160243202766	0.0020082609959638704	0.0	0.0	4.108818160171895E-4	0.06491976236266245	0.0018726453645715087	3.1784605740794054E-4
8	1.535058107313424E-4	0.1501299660810361	0.0032240972564798955	7.841590700983262E-4	0.018419539010285146	2.812465200103447E-4	0.003348287978773776	0.7160415103917261	0.030385413796924405	0.008621149439079856	6.042464718589877E-4	1.2698029500220491E-5	2.665068829609841E-4	0.06599357702914042	0.0017340962313941086
9	0.0	0.0	0.0032363556271492707	0.004704465508045877	0.019990825248959787	0.0	0.004870417113731429	0.21736397082742578	0.6275260216293768	0.1158381415620428	5.010126712992593E-5	0.0	0.006207431985352865	2.1226923078543507E-4	0.0
10	2.513485025378413E-6	0.011581445464241358	2.309302402988583E-4	6.120039267657932E-5	2.701241176611337E-4	0.0	0.0	0.04437745881398787	0.08115098403138453	0.6545056528212654	0.07681288233074395	3.2526362625082903E-4	0.010980180541100726	0.10914733818373296	0.010554025951630438
11	0.0	0.013294367505290443	6.320421342076206E-4	1.1764845913760554E-4	0.0010202478853539598	9.371348668625125E-5	0.0	0.003504216264830213	1.590248857674973E-4	0.08595835472945072	0.7031600253934102	0.07905955926439441	0.004428944039228345	0.0014575383570570905	0.10711431759518573
12	0.0	2.4006568701089942E-4	1.1233353889104313E-4	1.8680737504702926E-4	3.081569656960664E-4	0.0014217408307325456	0.0023962039307943587	1.3449966507556965E-4	0.0	7.798932826514823E-4	0.13042129412013675	0.7468312580478987	0.11026269997669956	0.0	0.006905046579365974
13	0.0	9.817114566360366E-5	0.0	0.0012531998037556104	0.0022692359155319117	0.012875414262496379	0.12523631938244315	0.001560980906640768	0.005085132406143827	0.011499569391752174	0.003304897880437934	0.06094065162584379	0.769250374761393	0.0039750671272613764	0.002650985390636597
14	0.0	0.052576374819110365	6.016377570655778E-4	4.068796473227959E-5	0.0014740601274838504	0.0	0.002955657225806205	0.30613718598537826	4.7732228023126253E-4	0.09929565204194064	0.0	4.809460116512964E-5	0.0033632254785577287	0.5303244129673802	0.002705688751148398
15	0.09076368715173926	0.15990548084938627	0.010577760378590352	0.001237600916838928	0.002016636551832201	0.0010491469319069415	7.936761977991542E-4	0.012049728750005994	0.0	0.015930353861133156	0.13899018949224426	0.0058218070566820115	0.0035559940297766445	0.0033933984229412273	0.5539145394091236
