15	10	E	-9223384.010276219	163
transitionprobs	11	5	0.0010202478853539598
transitionprobs	11	6	9.371348668625125E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	0.003504216264830213
transitionprobs	11	9	1.590248857674973E-4
transitionprobs	11	10	0.08595835472945072
transitionprobs	11	11	0.7031600253934102
transitionprobs	11	12	0.07905955926439441
transitionprobs	11	13	0.004428944039228345
transitionprobs	11	14	0.0014575383570570905
transitionprobs	11	15	0.10711431759518573
transitionprobs	12	1	0.0
transitionprobs	12	2	2.4006568701089942E-4
transitionprobs	12	3	1.1233353889104313E-4
transitionprobs	12	4	1.8680737504702926E-4
transitionprobs	12	5	3.081569656960664E-4
transitionprobs	12	6	0.0014217408307325456
transitionprobs	12	7	0.0023962039307943587
transitionprobs	12	8	1.3449966507556965E-4
transitionprobs	12	9	0.0
transitionprobs	12	10	7.798932826514823E-4
transitionprobs	12	11	0.13042129412013675
transitionprobs	12	12	0.7468312580478987
transitionprobs	12	13	0.11026269997669956
transitionprobs	12	14	0.0
transitionprobs	12	15	0.006905046579365974
transitionprobs	13	1	0.0
transitionprobs	13	2	9.817114566360366E-5
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0012531998037556104
transitionprobs	13	5	0.0022692359155319117
transitionprobs	13	6	0.012875414262496379
transitionprobs	13	7	0.12523631938244315
transitionprobs	13	8	0.001560980906640768
transitionprobs	13	9	0.005085132406143827
transitionprobs	13	10	0.011499569391752174
transitionprobs	13	11	0.003304897880437934
transitionprobs	13	12	0.06094065162584379
transitionprobs	13	13	0.769250374761393
transitionprobs	13	14	0.0039750671272613764
transitionprobs	13	15	0.002650985390636597
transitionprobs	14	1	0.0
transitionprobs	14	2	0.052576374819110365
transitionprobs	14	3	6.016377570655778E-4
transitionprobs	14	4	4.068796473227959E-5
transitionprobs	14	5	0.0014740601274838504
transitionprobs	14	6	0.0
transitionprobs	14	7	0.002955657225806205
transitionprobs	14	8	0.30613718598537826
transitionprobs	14	9	4.7732228023126253E-4
transitionprobs	14	10	0.09929565204194064
transitionprobs	14	11	0.0
transitionprobs	14	12	4.809460116512964E-5
transitionprobs	14	13	0.0033632254785577287
transitionprobs	14	14	0.5303244129673802
transitionprobs	14	15	0.002705688751148398
transitionprobs	15	1	0.09076368715173926
transitionprobs	15	2	0.15990548084938627
transitionprobs	15	3	0.010577760378590352
transitionprobs	15	4	0.001237600916838928
transitionprobs	15	5	0.002016636551832201
transitionprobs	15	6	0.0010491469319069415
transitionprobs	15	7	7.936761977991542E-4
transitionprobs	15	8	0.012049728750005994
transitionprobs	15	9	0.0
transitionprobs	15	10	0.015930353861133156
transitionprobs	15	11	0.13899018949224426
transitionprobs	15	12	0.0058218070566820115
transitionprobs	15	13	0.0035559940297766445
transitionprobs	15	14	0.0033933984229412273
transitionprobs	15	15	0.5539145394091236
emissionprobs	1	0	H3K04me1	0	0.9977807012838237
emissionprobs	1	0	H3K04me1	1	0.0022192987161762574
emissionprobs	1	1	H3K04me2	0	0.9990138908744016
emissionprobs	1	1	H3K04me2	1	9.861091255984088E-4
emissionprobs	1	2	H3K04me3	0	0.9999856247024842
emissionprobs	1	2	H3K04me3	1	1.4375297515766028E-5
emissionprobs	1	3	H3K09ac	0	0.9999746821486197
emissionprobs	1	3	H3K09ac	1	2.5317851380228163E-5
emissionprobs	1	4	H3K09me3	0	0.9856212859208114
emissionprobs	1	4	H3K09me3	1	0.014378714079188651
emissionprobs	1	5	H3K27ac	0	0.9999136770563302
emissionprobs	1	5	H3K27ac	1	8.632294366991782E-5
emissionprobs	1	6	H3K27me3	0	0.6058198953282876
emissionprobs	1	6	H3K27me3	1	0.39418010467171233
emissionprobs	1	7	H3K36me3	0	0.9996326459712703
emissionprobs	1	7	H3K36me3	1	3.673540287296559E-4
emissionprobs	1	8	H3K79me2	0	0.9999249855192236
emissionprobs	1	8	H3K79me2	1	7.501448077645383E-5
emissionprobs	1	9	H4K20me1	0	0.9926196793184565
emissionprobs	1	9	H4K20me1	1	0.007380320681543504
emissionprobs	2	0	H3K04me1	0	0.998630775424143
emissionprobs	2	0	H3K04me1	1	0.001369224575857024
emissionprobs	2	1	H3K04me2	0	0.9996493576486911
emissionprobs	2	1	H3K04me2	1	3.506423513089686E-4
